case_id,codebook,cb_type,K,M,c,wav,SNR_CELP_dB,SegSNR_CELP_dB,MSE,PESQ,STOI
20,gauss1024,gaussian,1024,10,0.75,z.wav,10.0597179399016,5.95047568772816,0.000554124803849722,NaN,0.948647289708323
20,gauss1024,gaussian,1024,10,0.75,we were away a year ago_lrr.wav,10.7993036118227,11.6811365701091,0.0023571793063426,NaN,0.929966008516768
21,gauss1024,gaussian,1024,10,0.9,frase.wav,13.0303053387624,10.8603157273138,0.0010915069415777,NaN,0.861513099556134
21,gauss1024,gaussian,1024,10,0.9,e.wav,15.475299131067,7.60028673154657,0.000329306928835039,NaN,NaN
21,gauss1024,gaussian,1024,10,0.9,r.wav,11.1641716791599,5.30701254202963,0.000434172621232237,NaN,0.920880412876596
21,gauss1024,gaussian,1024,10,0.9,z.wav,12.2206210961559,7.34278535981471,0.000336912616861981,NaN,0.940015360975822
21,gauss1024,gaussian,1024,10,0.9,we were away a year ago_lrr.wav,11.685814675018,12.2223848496261,0.00192194746975102,NaN,0.924101867447433
22,gauss1024,gaussian,1024,12,0.6,frase.wav,11.7577951766731,9.37249761547541,0.00146311181786455,NaN,0.877105661079245
22,gauss1024,gaussian,1024,12,0.6,e.wav,10.5587334999208,5.35798386931096,0.00102154483370599,NaN,NaN
22,gauss1024,gaussian,1024,12,0.6,r.wav,8.61469811148779,3.97707550445397,0.000780925834409053,NaN,0.927141808463694
22,gauss1024,gaussian,1024,12,0.6,z.wav,9.84363877814545,4.7044470522896,0.000582392142240756,NaN,0.946073987798924
22,gauss1024,gaussian,1024,12,0.6,we were away a year ago_lrr.wav,10.3622351269085,10.4374921103857,0.00260675051649906,NaN,0.924796462399598
23,gauss1024,gaussian,1024,12,0.75,frase.wav,12.7329112981601,10.2275827491294,0.00116886917591463,NaN,0.860085764638986
23,gauss1024,gaussian,1024,12,0.75,e.wav,11.6562566496867,6.36167097387515,0.000793423604712881,NaN,NaN
23,gauss1024,gaussian,1024,12,0.75,r.wav,8.94260583228339,4.60688443786352,0.000724134131701902,NaN,0.907527955129651
23,gauss1024,gaussian,1024,12,0.75,z.wav,11.6410501066158,6.31721498826027,0.000385012095881505,NaN,0.937838798171141
23,gauss1024,gaussian,1024,12,0.75,we were away a year ago_lrr.wav,9.70475239680298,11.3612762144141,0.00303282772274179,NaN,0.92885243676972
24,gauss1024,gaussian,1024,12,0.9,frase.wav,13.2302291184101,11.0025812208448,0.00104239933114636,NaN,0.85084575885237
24,gauss1024,gaussian,1024,12,0.9,e.wav,14.3578228128073,7.35332136193941,0.000425940072496703,NaN,NaN
24,gauss1024,gaussian,1024,12,0.9,r.wav,10.1316329649282,5.03041399231278,0.000550701557745346,NaN,0.935722454926587
24,gauss1024,gaussian,1024,12,0.9,z.wav,12.2963635507685,7.04679225418486,0.000331087686732738,NaN,0.939562574252784
24,gauss1024,gaussian,1024,12,0.9,we were away a year ago_lrr.wav,11.4134529346952,12.2220937991694,0.00204633950033531,NaN,0.922858601790209
25,gauss1024,gaussian,1024,16,0.6,frase.wav,10.7214579587942,8.74494060772659,0.00185742480055534,NaN,0.863751915375078
25,gauss1024,gaussian,1024,16,0.6,e.wav,11.4768415118217,4.84742892222099,0.000826887888021121,NaN,NaN
25,gauss1024,gaussian,1024,16,0.6,r.wav,8.13847561026402,4.22572317504337,0.000871429063878791,NaN,0.942550571008659
25,gauss1024,gaussian,1024,16,0.6,z.wav,6.57499280916856,4.5784255306746,0.00123617541937013,NaN,0.922509243302668
25,gauss1024,gaussian,1024,16,0.6,we were away a year ago_lrr.wav,10.1552783880064,10.2759212760281,0.00273397879713015,NaN,0.921004090069964
26,gauss1024,gaussian,1024,16,0.75,frase.wav,12.2226769933905,9.93071417418693,0.00131458701008308,NaN,0.852627848672043
26,gauss1024,gaussian,1024,16,0.75,e.wav,13.5054679752881,6.24585519330299,0.00051830331224251,NaN,NaN
26,gauss1024,gaussian,1024,16,0.75,r.wav,9.23223724636673,4.65620420102321,0.000677416665580269,NaN,0.937842002235644
26,gauss1024,gaussian,1024,16,0.75,z.wav,7.75847633614814,6.2120473918706,0.000941308002729465,NaN,0.910437372671596
26,gauss1024,gaussian,1024,16,0.75,we were away a year ago_lrr.wav,10.902287537503,11.4590175306649,0.00230194120656562,NaN,0.921827163075057
27,gauss1024,gaussian,1024,16,0.9,frase.wav,12.8736868911448,10.7215800835805,0.00113158803507668,NaN,0.854579313145668
27,gauss1024,gaussian,1024,16,0.9,e.wav,14.9709653113609,7.65695405774735,0.000369857347418538,NaN,NaN
27,gauss1024,gaussian,1024,16,0.9,r.wav,11.3961311096792,5.33973538721142,0.000411591588277033,NaN,0.942126295647166
27,gauss1024,gaussian,1024,16,0.9,z.wav,10.0497446434731,6.96627747722315,0.000555398778442852,NaN,0.929358965647296
27,gauss1024,gaussian,1024,16,0.9,we were away a year ago_lrr.wav,11.6207318218529,12.0498408892907,0.00195096643967347,NaN,0.923985309590262
28,2pulses256,2pulses,256,10,0.6,frase.wav,9.40025306179863,7.68768362462187,0.00251786087680505,NaN,0.867674910595114
28,2pulses256,2pulses,256,10,0.6,e.wav,13.0538944529353,4.86566307851218,0.000575097310344697,NaN,NaN
28,2pulses256,2pulses,256,10,0.6,r.wav,7.23137735668876,3.12055938699875,0.0010738456588185,NaN,0.930192078820765
28,2pulses256,2pulses,256,10,0.6,z.wav,7.41887935083553,3.98281353373153,0.0010178679727319,NaN,NaN
28,2pulses256,2pulses,256,10,0.6,we were away a year ago_lrr.wav,9.14442913165846,8.97030835631555,0.00345048439628864,NaN,0.903060683706458
29,2pulses256,2pulses,256,10,0.75,frase.wav,11.1955891668089,8.68781445528258,0.00166532161575954,NaN,0.873117476809754
29,2pulses256,2pulses,256,10,0.75,e.wav,12.5443813749606,4.98413698777789,0.000646684786698045,NaN,NaN
29,2pulses256,2pulses,256,10,0.75,r.wav,9.61441605992415,3.82715623914979,0.000620351726790302,NaN,0.940587402331124
29,2pulses256,2pulses,256,10,0.75,z.wav,9.7781992295015,4.78561302600272,0.000591234082507051,NaN,0.938177210995555
29,2pulses256,2pulses,256,10,0.75,we were away a year ago_lrr.wav,9.5843175041936,10.0307652999805,0.00311810855304886,NaN,0.917932262882247
30,2pulses256,2pulses,256,10,0.9,frase.wav,11.6670907305837,9.53980765970033,0.00149399093664584,NaN,0.836405598300887
30,2pulses256,2pulses,256,10,0.9,e.wav,16.2290050550485,6.67021802720522,0.000276840915174643,NaN,NaN
30,2pulses256,2pulses,256,10,0.9,r.wav,9.1642305878719,4.40916353174908,0.000688107898025376,NaN,0.907825796690758
30,2pulses256,2pulses,256,10,0.9,z.wav,12.1108433939018,6.02879227619129,0.000345537387351636,NaN,0.93236254245738
30,2pulses256,2pulses,256,10,0.9,we were away a year ago_lrr.wav,10.9054911398836,11.1760148798246,0.00230024379032411,NaN,0.910893065593465
31,2pulses256,2pulses,256,12,0.6,frase.wav,9.7897772404453,7.57921891375979,0.00230186215027875,NaN,0.879370514691711
31,2pulses256,2pulses,256,12,0.6,e.wav,9.59893792705044,3.99294794767218,0.00127419820531981,NaN,NaN
31,2pulses256,2pulses,256,12,0.6,r.wav,7.93307936514924,3.2493014126457,0.000913632762764745,NaN,0.91821163914285
31,2pulses256,2pulses,256,12,0.6,z.wav,4.88883198676031,3.73504817229877,0.00182262022796265,NaN,0.91893350213287
31,2pulses256,2pulses,256,12,0.6,we were away a year ago_lrr.wav,8.95106362701704,9.02964889249638,0.00360758538004317,NaN,0.901734985672639
32,2pulses256,2pulses,256,12,0.75,frase.wav,11.2174587578812,8.78353636932545,0.00165695670234961,NaN,0.876557562922292
32,2pulses256,2pulses,256,12,0.75,e.wav,12.3485450668413,5.0023857980953,0.000676513200285771,NaN,NaN
32,2pulses256,2pulses,256,12,0.75,r.wav,9.93198489750257,3.7707460737139,0.00057660859492952,NaN,0.940188905355674
32,2pulses256,2pulses,256,12,0.75,z.wav,11.2080855077962,5.27863088657329,0.00042537389485628,NaN,0.935314108492384
32,2pulses256,2pulses,256,12,0.75,we were away a year ago_lrr.wav,10.3681311898007,10.4443035794164,0.00260321394457717,NaN,0.922711462857361
33,2pulses256,2pulses,256,12,0.9,frase.wav,11.8632895513124,9.84555737535818,0.00142799958343165,NaN,0.850896554446808
33,2pulses256,2pulses,256,12,0.9,e.wav,15.2329241363501,6.39172122092959,0.000348207698057378,NaN,NaN
33,2pulses256,2pulses,256,12,0.9,r.wav,10.5266084735793,4.3878677269974,0.000502827190339388,NaN,0.935016839908973
33,2pulses256,2pulses,256,12,0.9,z.wav,11.6355200690235,6.45571478980703,0.00038550265875536,NaN,0.934468956686357
33,2pulses256,2pulses,256,12,0.9,we were away a year ago_lrr.wav,11.0261941458439,11.358522171346,0.00223719359026422,NaN,0.92502831434767
34,2pulses256,2pulses,256,16,0.6,frase.wav,9.56941275976457,7.56088675960089,0.00242167445085305,NaN,0.884671408389445
34,2pulses256,2pulses,256,16,0.6,e.wav,11.3524887734046,4.19215482720554,0.000850906623846252,NaN,NaN
