case_id,codebook,cb_type,K,M,c,k_norm,theta0_mean,theta0_abs_mean,theta0_rms,P_mean,F0_mean_Hz,b_mean,b_voiced_mean,b_unvoiced_mean,P_voiced_mean,IS_mean,LSD_mean,SNR_LPC_dB,SNR_CELP_dB,b_voiced_ci_lo,b_voiced_ci_hi,proc_time_s
24,gauss1024,gaussian,1024,12,0.9,0.487274342771996,0.000654602729387761,0.0332070816040048,0.0621311960775918,86.2257281978766,92.7797325369182,0.818050972054564,0.89626559587397,0.793463655292953,75.9254655721637,13.3368860843759,63.3403846901114,14.1857263737903,8.64271811078556,0.815478825080757,0.979419227864332,1.8347513
25,gauss1024,gaussian,1024,16,0.6,0.507358022903611,0.00150553595477458,0.0311236925217079,0.0584089412095366,86.5521858135397,92.4297858546807,0.784434957200887,0.858048549649662,0.761560377644527,80.0882197990689,13.3271517148977,63.2935636587889,14.3202941366289,6.84849767893204,0.775329280409216,0.93989504934155,1.8551339
26,gauss1024,gaussian,1024,16,0.75,0.493087936516602,0.00228550760463128,0.0318307061591313,0.0594327378464501,84.9972421422238,94.1207008412555,0.79710672456677,0.898134457778737,0.7646720361848,78.4664941190885,13.3271517148977,63.2935636587889,14.3202941366289,7.74951467260178,0.814818444841978,0.983050722987949,1.8985332
27,gauss1024,gaussian,1024,16,0.9,0.489054670272019,-0.000101396607344604,0.0338627860694603,0.0644128755280742,87.1858245344098,91.7580356981384,0.812510483007802,0.88431796093067,0.786067344963637,77.7465235236462,13.3271517148977,63.2935636587889,14.3202941366289,8.54921419529634,0.802957514440694,0.961186260911339,1.8557418
28,2pulses256,2pulses,256,10,0.6,0.485773299680208,0.000423372460647654,0.0325191018682417,0.0657125729748674,86.9983939446794,91.9557205284392,0.8278373769117,0.882283532859766,0.807128146905211,82.8346759372703,13.3388652581221,63.3449319006382,14.079697165905,5.6299535671554,0.796018017808092,0.971167135412904,1.5955082
29,2pulses256,2pulses,256,10,0.75,0.48960073612875,-0.000438589244550487,0.0321057661822247,0.0605432336177461,86.020863867415,93.0006935565132,0.836721625014984,0.909200712822667,0.818955041702622,79.1723229600588,13.3388652581221,63.3449319006382,14.079697165905,6.60218910442359,0.82620213708248,0.99295025829156,1.6297461
30,2pulses256,2pulses,256,10,0.9,0.485717869320866,-7.1918528321492e-05,0.0334038769763288,0.0630154853532404,85.2495212347356,93.8421692477534,0.849853609349894,0.905295286014323,0.827126993129099,79.450756554766,13.3388652581221,63.3449319006382,14.079697165905,7.25636621525622,0.833832186612838,0.980796682569536,1.6583551
31,2pulses256,2pulses,256,12,0.6,0.495188067825814,-0.000765165760038527,0.0317585983541959,0.0600036812172897,84.7100853106254,94.4397585088554,0.839511276999108,0.887307263842909,0.822121475992893,80.9128185493751,13.3368860843759,63.3403846901114,14.1857263737903,5.49768337750287,0.80160114340996,0.972915753357417,1.6397079
32,2pulses256,2pulses,256,12,0.75,0.495631573906318,-0.00107733813517505,0.0319683801984162,0.0627725633955076,85.3189858189384,93.7657653007899,0.840616531724905,0.88996234881434,0.823259613289288,74.6819192599853,13.3368860843759,63.3403846901114,14.1857263737903,6.56787483623241,0.807861562284531,0.973001080047008,1.5617973
33,2pulses256,2pulses,256,12,0.9,0.490649929837345,-0.000462708985371635,0.0319402206046853,0.0611987128341074,84.8352476624453,94.3004260661978,0.857623881851784,0.906273586378833,0.835502032880645,78.0051335456996,13.3368860843759,63.3403846901114,14.1857263737903,7.48547534500137,0.830950546010998,0.981066232083602,1.5941195
34,2pulses256,2pulses,256,16,0.6,0.499229416281779,0.000980273767846776,0.030680253794086,0.0587830140299714,86.2296526475676,92.7755099825938,0.835387629933828,0.888061609993949,0.819063491552371,80.7103436657682,13.3271517148977,63.2935636587889,14.3202941366289,5.77338625425001,0.796542957940406,0.976614989931421,1.7314317
35,2pulses256,2pulses,256,16,0.75,0.488991538502331,0.00108743310995828,0.0311392363926288,0.062310201218235,84.8491071765993,94.285022744545,0.838392274556717,0.891504704780176,0.819306059594045,80.4607418524871,13.3271517148977,63.2935636587889,14.3202941366289,6.66377313441599,0.803643886443172,0.976491125641436,1.7323839
36,2pulses256,2pulses,256,16,0.9,0.500319225786706,0.000683893215189099,0.0324368838382371,0.0600151379196066,85.5148873945427,93.5509622212347,0.851073961900011,0.90151998872335,0.829476188462786,78.9318273707425,13.3271517148977,63.2935636587889,14.3202941366289,7.5813965031863,0.824736650041453,0.980191950142542,1.7036555
